NATIONAL,NAT_CODE,MARKET,MKT_CODE,DMA_NAME,DMA_CODE,STORE_NO,STORE_CODE
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,155,SCL0155
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,734,SCL0734
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,873,SCL0873
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,1117,SCL1117
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,1172,SCL1172
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,1216,SCL1216
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,1364,SCL1364
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,1472,SCL1472
TOTAL,TOTUS,EMERGING,MEMER,CLEVELAND-AKRON (CANTON),DCLE01,1532,SCL1532
TOTAL,TOTUS,EMERGING,MEMER,COLORADO SPRINGS-PUEBLO,DCOL01,78,SCO0078
TOTAL,TOTUS,EMERGING,MEMER,COLORADO SPRINGS-PUEBLO,DCOL01,143,SCO0143
TOTAL,TOTUS,EMERGING,MEMER,COLORADO SPRINGS-PUEBLO,DCOL01,187,SCO0187
TOTAL,TOTUS,EMERGING,MEMER,COLORADO SPRINGS-PUEBLO,DCOL01,813,SCO0813
TOTAL,TOTUS,EMERGING,MEMER,COLORADO SPRINGS-PUEBLO,DCOL01,1246,SCO1246
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBIA, SC",DCOL01,848,SCO0848
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBIA, SC",DCOL01,891,SCO0891
TOTAL,TOTUS,EMERGING,MEMER,COLUMBIA-JEFFERSON CITY,DCOL01,1183,SCO1183
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, GA (OPELIKA, AL)",DCOL01,457,SCO0457
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, GA (OPELIKA, AL)",DCOL01,629,SCO0629
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,671,SCO0671
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,686,SCO0686
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,700,SCO0700
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,733,SCO0733
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,1053,SCO1053
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,1054,SCO1054
TOTAL,TOTUS,EMERGING,MEMER,"COLUMBUS, OH",DCOL01,1166,SCO1166
TOTAL,TOTUS,EMERGING,MEMER,COLUMBUS-TUPELO-W PNT-HSTN,DCOL01,753,SCO0753
TOTAL,TOTUS,EMERGING,MEMER,COLUMBUS-TUPELO-W PNT-HSTN,DCOL01,777,SCO0777
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,50,SCO0050
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,149,SCO0149
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,312,SCO0312
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,361,SCO0361
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,405,SCO0405
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,567,SCO0567
TOTAL,TOTUS,EMERGING,MEMER,CORPUS CHRISTI,DCOR01,1217,SCO1217
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,1,SDA0001
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,2,SDA0002
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,3,SDA0003
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,4,SDA0004
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,5,SDA0005
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,7,SDA0007
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,8,SDA0008
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,9,SDA0009
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,10,SDA0010
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,12,SDA0012
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,13,SDA0013
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,15,SDA0015
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,19,SDA0019
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,27,SDA0027
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,28,SDA0028
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,29,SDA0029
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,32,SDA0032
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,34,SDA0034
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,51,SDA0051
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,61,SDA0061
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,66,SDA0066
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,72,SDA0072
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,87,SDA0087
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,95,SDA0095
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,104,SDA0104
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,129,SDA0129
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,138,SDA0138
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,140,SDA0140
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,154,SDA0154
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,165,SDA0165
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,168,SDA0168
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,203,SDA0203
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,210,SDA0210
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,214,SDA0214
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,215,SDA0215
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,223,SDA0223
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,224,SDA0224
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,232,SDA0232
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,242,SDA0242
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,245,SDA0245
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,249,SDA0249
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,288,SDA0288
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,298,SDA0298
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,306,SDA0306
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,329,SDA0329
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,332,SDA0332
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,333,SDA0333
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,340,SDA0340
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,344,SDA0344
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,345,SDA0345
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,356,SDA0356
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,391,SDA0391
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,398,SDA0398
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,404,SDA0404
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,476,SDA0476
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,491,SDA0491
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,525,SDA0525
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,534,SDA0534
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,538,SDA0538
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,564,SDA0564
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,575,SDA0575
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,599,SDA0599
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,633,SDA0633
TOTAL,TOTUS,CORE,MCORE,DALLAS-FT. WORTH,DDAL01,690,SDA0690
