NATIONAL,NAT_CODE,MARKET,MKT_CODE,DMA_NAME,DMA_CODE,STORE_NO,STORE_CODE
TOTAL,TOTUS,DEVELOPING,MDEVL,LAS VEGAS,DLAS01,1119,SLA1119
TOTAL,TOTUS,DEVELOPING,MDEVL,LAS VEGAS,DLAS01,1203,SLA1203
TOTAL,TOTUS,DEVELOPING,MDEVL,LAS VEGAS,DLAS01,1249,SLA1249
TOTAL,TOTUS,DEVELOPING,MDEVL,LAS VEGAS,DLAS01,1433,SLA1433
TOTAL,TOTUS,EMERGING,MEMER,LITTLE ROCK-PINE BLUFF,DLIT01,144,SLI0144
TOTAL,TOTUS,EMERGING,MEMER,LITTLE ROCK-PINE BLUFF,DLIT01,225,SLI0225
TOTAL,TOTUS,EMERGING,MEMER,LITTLE ROCK-PINE BLUFF,DLIT01,239,SLI0239
TOTAL,TOTUS,EMERGING,MEMER,LITTLE ROCK-PINE BLUFF,DLIT01,320,SLI0320
TOTAL,TOTUS,EMERGING,MEMER,LITTLE ROCK-PINE BLUFF,DLIT01,1231,SLI1231
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,83,SLO0083
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,124,SLO0124
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,137,SLO0137
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,191,SLO0191
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,218,SLO0218
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,228,SLO0228
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,237,SLO0237
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,247,SLO0247
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,256,SLO0256
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,265,SLO0265
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,266,SLO0266
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,267,SLO0267
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,276,SLO0276
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,277,SLO0277
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,279,SLO0279
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,280,SLO0280
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,285,SLO0285
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,292,SLO0292
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,295,SLO0295
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,296,SLO0296
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,303,SLO0303
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,310,SLO0310
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,313,SLO0313
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,315,SLO0315
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,347,SLO0347
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,349,SLO0349
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,355,SLO0355
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,368,SLO0368
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,369,SLO0369
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,379,SLO0379
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,386,SLO0386
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,387,SLO0387
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,392,SLO0392
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,396,SLO0396
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,397,SLO0397
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,426,SLO0426
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,435,SLO0435
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,443,SLO0443
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,458,SLO0458
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,465,SLO0465
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,473,SLO0473
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,486,SLO0486
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,493,SLO0493
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,494,SLO0494
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,504,SLO0504
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,507,SLO0507
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,511,SLO0511
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,528,SLO0528
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,540,SLO0540
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,546,SLO0546
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,561,SLO0561
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,563,SLO0563
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,572,SLO0572
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,573,SLO0573
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,584,SLO0584
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,601,SLO0601
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,605,SLO0605
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,607,SLO0607
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,616,SLO0616
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,620,SLO0620
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,622,SLO0622
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,625,SLO0625
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,627,SLO0627
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,631,SLO0631
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,632,SLO0632
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,642,SLO0642
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,650,SLO0650
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,658,SLO0658
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,672,SLO0672
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,679,SLO0679
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,681,SLO0681
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,705,SLO0705
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,717,SLO0717
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,718,SLO0718
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,724,SLO0724
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,725,SLO0725
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,735,SLO0735
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,749,SLO0749
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,761,SLO0761
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,763,SLO0763
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,775,SLO0775
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,787,SLO0787
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,806,SLO0806
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,817,SLO0817
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,830,SLO0830
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,835,SLO0835
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,840,SLO0840
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,843,SLO0843
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,856,SLO0856
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,897,SLO0897
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1033,SLO1033
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1034,SLO1034
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1051,SLO1051
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1063,SLO1063
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1074,SLO1074
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1078,SLO1078
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1081,SLO1081
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1087,SLO1087
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1099,SLO1099
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1118,SLO1118
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1130,SLO1130
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1139,SLO1139
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1143,SLO1143
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1165,SLO1165
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1169,SLO1169
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1186,SLO1186
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1196,SLO1196
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1206,SLO1206
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1211,SLO1211
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1229,SLO1229
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1232,SLO1232
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1234,SLO1234
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1254,SLO1254
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1257,SLO1257
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1264,SLO1264
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1268,SLO1268
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1274,SLO1274
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1276,SLO1276
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1279,SLO1279
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1304,SLO1304
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1315,SLO1315
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1331,SLO1331
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1339,SLO1339
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1346,SLO1346
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1350,SLO1350
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1357,SLO1357
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1363,SLO1363
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1370,SLO1370
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1385,SLO1385
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1403,SLO1403
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1406,SLO1406
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1408,SLO1408
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1412,SLO1412
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1415,SLO1415
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1416,SLO1416
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1446,SLO1446
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1455,SLO1455
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1469,SLO1469
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1471,SLO1471
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1484,SLO1484
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1515,SLO1515
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1541,SLO1541
TOTAL,TOTUS,CORE,MCORE,LOS ANGELES,DLOS01,1567,SLO1567
TOTAL,TOTUS,EMERGING,MEMER,LOUISVILLE,DLOU01,608,SLO0608
TOTAL,TOTUS,EMERGING,MEMER,LOUISVILLE,DLOU01,771,SLO0771
TOTAL,TOTUS,EMERGING,MEMER,LOUISVILLE,DLOU01,1549,SLO1549
TOTAL,TOTUS,EMERGING,MEMER,LUBBOCK,DLUB01,63,SLU0063
TOTAL,TOTUS,EMERGING,MEMER,LUBBOCK,DLUB01,274,SLU0274
TOTAL,TOTUS,EMERGING,MEMER,LUBBOCK,DLUB01,341,SLU0341
TOTAL,TOTUS,EMERGING,MEMER,MACON,DMAC01,1022,SMA1022
TOTAL,TOTUS,EMERGING,MEMER,MACON,DMAC01,1064,SMA1064
TOTAL,TOTUS,EMERGING,MEMER,MADISON,DMAD01,582,SMA0582
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,127,SME0127
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,580,SME0580
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,636,SME0636
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,683,SME0683
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,755,SME0755
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,767,SME0767
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,832,SME0832
TOTAL,TOTUS,EMERGING,MEMER,MEMPHIS,DMEM01,876,SME0876
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,79,SMI0079
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,92,SMI0092
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,173,SMI0173
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,183,SMI0183
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,205,SMI0205
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,209,SMI0209
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,258,SMI0258
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,305,SMI0305
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,346,SMI0346
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,389,SMI0389
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,420,SMI0420
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,500,SMI0500
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,581,SMI0581
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,687,SMI0687
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,871,SMI0871
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,883,SMI0883
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1059,SMI1059
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1096,SMI1096
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1167,SMI1167
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1252,SMI1252
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1318,SMI1318
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1373,SMI1373
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1411,SMI1411
TOTAL,TOTUS,DEVELOPING,MDEVL,MIAMI-FT. LAUDERDALE,DMIA01,1486,SMI1486
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,487,SMI0487
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,589,SMI0589
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,654,SMI0654
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,702,SMI0702
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,721,SMI0721
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,760,SMI0760
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,855,SMI0855
TOTAL,TOTUS,EMERGING,MEMER,MILWAUKEE,DMIL01,1004,SMI1004
TOTAL,TOTUS,EMERGING,MEMER,MINNEAPOLIS-ST. PAUL,DMIN01,769,SMI0769
TOTAL,TOTUS,EMERGING,MEMER,MINNEAPOLIS-ST. PAUL,DMIN01,1005,SMI1005
TOTAL,TOTUS,EMERGING,MEMER,MOBILE-PENSACOLA (FT WALT),DMOB01,243,SMO0243
TOTAL,TOTUS,EMERGING,MEMER,MOBILE-PENSACOLA (FT WALT),DMOB01,354,SMO0354
TOTAL,TOTUS,EMERGING,MEMER,MOBILE-PENSACOLA (FT WALT),DMOB01,383,SMO0383
TOTAL,TOTUS,EMERGING,MEMER,MOBILE-PENSACOLA (FT WALT),DMOB01,1209,SMO1209
TOTAL,TOTUS,EMERGING,MEMER,MONROE-EL DORADO,DMON01,16,SMO0016
TOTAL,TOTUS,EMERGING,MEMER,MONROE-EL DORADO,DMON01,107,SMO0107
TOTAL,TOTUS,EMERGING,MEMER,MONROE-EL DORADO,DMON01,360,SMO0360
TOTAL,TOTUS,EMERGING,MEMER,MONTEREY-SALINAS,DMON01,302,SMO0302
TOTAL,TOTUS,EMERGING,MEMER,MONTEREY-SALINAS,DMON01,570,SMO0570
TOTAL,TOTUS,EMERGING,MEMER,MONTEREY-SALINAS,DMON01,635,SMO0635
TOTAL,TOTUS,EMERGING,MEMER,MONTEREY-SALINAS,DMON01,1138,SMO1138
TOTAL,TOTUS,EMERGING,MEMER,MONTEREY-SALINAS,DMON01,1321,SMO1321
TOTAL,TOTUS,EMERGING,MEMER,MONTGOMERY-SELMA,DMON01,1171,SMO1171
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,270,SNA0270
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,351,SNA0351
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,805,SNA0805
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,858,SNA0858
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,1049,SNA1049
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,1247,SNA1247
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,1297,SNA1297
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,1483,SNA1483
TOTAL,TOTUS,EMERGING,MEMER,NASHVILLE,DNAS01,1529,SNA1529
TOTAL,TOTUS,EMERGING,MEMER,NEW ORLEANS,DNEW01,49,SNE0049
TOTAL,TOTUS,EMERGING,MEMER,NEW ORLEANS,DNEW01,802,SNE0802
TOTAL,TOTUS,EMERGING,MEMER,NEW ORLEANS,DNEW01,823,SNE0823
TOTAL,TOTUS,EMERGING,MEMER,NEW ORLEANS,DNEW01,1109,SNE1109
TOTAL,TOTUS,EMERGING,MEMER,NEW ORLEANS,DNEW01,1184,SNE1184
TOTAL,TOTUS,EMERGING,MEMER,NEW ORLEANS,DNEW01,1221,SNE1221
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,535,SNE0535
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,766,SNE0766
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,770,SNE0770
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,879,SNE0879
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1001,SNE1001
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1027,SNE1027
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1037,SNE1037
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1039,SNE1039
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1040,SNE1040
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1145,SNE1145
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1160,SNE1160
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1168,SNE1168
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1176,SNE1176
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1223,SNE1223
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1224,SNE1224
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1237,SNE1237
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1313,SNE1313
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1314,SNE1314
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1334,SNE1334
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1375,SNE1375
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1450,SNE1450
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1464,SNE1464
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1467,SNE1467
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1470,SNE1470
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1505,SNE1505
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1521,SNE1521
TOTAL,TOTUS,EMERGING,MEMER,NEW YORK,DNEW01,1551,SNE1551
TOTAL,TOTUS,EMERGING,MEMER,NORFOLK-PORTSMTH-NEWPT NWS,DNOR01,1062,SNO1062
TOTAL,TOTUS,EMERGING,MEMER,NORFOLK-PORTSMTH-NEWPT NWS,DNOR01,1072,SNO1072
TOTAL,TOTUS,EMERGING,MEMER,NORFOLK-PORTSMTH-NEWPT NWS,DNOR01,1164,SNO1164
TOTAL,TOTUS,EMERGING,MEMER,NORFOLK-PORTSMTH-NEWPT NWS,DNOR01,1208,SNO1208
TOTAL,TOTUS,EMERGING,MEMER,NORFOLK-PORTSMTH-NEWPT NWS,DNOR01,1362,SNO1362
TOTAL,TOTUS,EMERGING,MEMER,NORFOLK-PORTSMTH-NEWPT NWS,DNOR01,1495,SNO1495
TOTAL,TOTUS,EMERGING,MEMER,ODESSA-MIDLAND,DODE01,62,SOD0062
TOTAL,TOTUS,EMERGING,MEMER,ODESSA-MIDLAND,DODE01,211,SOD0211
TOTAL,TOTUS,EMERGING,MEMER,ODESSA-MIDLAND,DODE01,669,SOD0669
TOTAL,TOTUS,EMERGING,MEMER,ODESSA-MIDLAND,DODE01,803,SOD0803
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,24,SOK0024
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,31,SOK0031
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,81,SOK0081
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,436,SOK0436
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,444,SOK0444
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,899,SOK0899
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,1141,SOK1141
TOTAL,TOTUS,EMERGING,MEMER,OKLAHOMA CITY,DOKL01,1190,SOK1190
TOTAL,TOTUS,EMERGING,MEMER,OMAHA,DOMA01,117,SOM0117
TOTAL,TOTUS,EMERGING,MEMER,OMAHA,DOMA01,542,SOM0542
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,59,SOR0059
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,621,SOR0621
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,814,SOR0814
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1024,SOR1024
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1056,SOR1056
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1071,SOR1071
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1195,SOR1195
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1205,SOR1205
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1434,SOR1434
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1456,SOR1456
TOTAL,TOTUS,EMERGING,MEMER,ORLANDO-DAYTONA BCH-MELBRN,DORL01,1507,SOR1507
TOTAL,TOTUS,EMERGING,MEMER,PADUCAH-CAPE GIRARD-HARSBG,DPAD01,257,SPA0257
TOTAL,TOTUS,EMERGING,MEMER,PALM SPRINGS,DPAL01,869,SPA0869
TOTAL,TOTUS,EMERGING,MEMER,PALM SPRINGS,DPAL01,1230,SPA1230
